,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.721816016,0.721816016,0,0.752385222,0.72585396,0.672164226,0.73606427,0.764468109,0.720533668,0.757505659,0.702009956,0.801236213,0.760575481,0.749871398,0.727747327,0.777224422,0.74540592,0.720520203,0.523144593,0.666001564
1,0.662886047,0.662886047,0,0.65070537,0.642343996,0.625126416,0.668034699,0.638171033,0.575251897,0.634684216,0.668820322,0.616921477,0.61876385,0.625318263,0.63261898,0.682605396,0.618628858,0.560305385,0.277330629,0.638090275
2,0.715804721,0.715804721,0,0.738282203,0.69829548,0.664374391,0.73156853,0.72130748,0.669702014,0.679786745,0.734277878,0.632438629,0.717517609,0.68562909,0.737953368,0.753159311,0.744639752,0.664166552,0.399175845,0.752509121
3,0.544192012,0.544192012,0,0.579127547,0.562599461,0.522823119,0.579511959,0.586468306,0.619861125,0.647407199,0.562101848,0.636726301,0.610946031,0.606696164,0.590549663,0.617698659,0.58793108,0.507025674,0.460930418,0.509686651
4,0.410283843,0.410283843,0,0.589052808,0.414959441,0.335698257,0.437840191,0.558113003,0.393117741,0.382129131,0.399292676,0.453450835,0.410963087,0.399871532,0.425280345,0.45529976,0.570946596,0.401120708,0.84561802,0.370267139
5,0.71941782,0.71941782,0,0.751071165,0.717451416,0.702528636,0.747631537,0.749426328,0.71404086,0.714853942,0.75271317,0.692545378,0.737971852,0.734368244,0.745091734,0.800518225,0.749548986,0.679940132,0.418154928,0.760833617
6,0.768531837,0.768531837,0,0.80887212,0.757408127,0.709185742,0.774824128,0.808575516,0.709354092,0.725895499,0.756668514,0.729961212,0.760185058,0.7417711,0.742422625,0.796577629,0.779913266,0.732470863,0.531816514,0.734563223
7,0.719514652,0.719514652,0,0.771161136,0.720630502,0.682581126,0.758516303,0.762870177,0.691398051,0.68125847,0.742887139,0.63860382,0.713164211,0.716555817,0.740026852,0.776342572,0.753392325,0.659298904,0.441676638,0.685460155
8,0.776382673,0.776382673,0,0.821446549,0.774520154,0.714764244,0.804060226,0.81808587,0.777645212,0.764486713,0.7905824,0.718197799,0.813897596,0.786619658,0.799812821,0.835058554,0.818684035,0.744953609,0.50478855,0.79996229
9,0.776063524,0.776063524,0,0.824470756,0.775321865,0.706060685,0.803395526,0.821021615,0.78846894,0.779279749,0.776479462,0.73463501,0.819058032,0.79285486,0.799400272,0.826478279,0.821893376,0.753833567,0.538593389,0.792321422
10,0.758420529,0.758420529,0,0.813809433,0.75130983,0.684767887,0.77400167,0.802185823,0.715255773,0.742357015,0.766891174,0.720953335,0.748992902,0.74050339,0.759318289,0.797552921,0.800755246,0.709571932,0.591058656,0.733468741
